1616426027.8046758,"[1.0, 1.0, 1.0]","[0.99121094, 0.49902344, 0.34326172]"
1616426029.1967657,"[1.0, 1.0, 1.0, 1.0]","[0.94189453, 0.5410156, 0.48754883, 0.39379883]"
1616426030.2845666,"[1.0, 1.0]","[0.98828125, 0.96240234]"
1616426031.3747609,"[1.0, 1.0]","[0.9970703, 0.734375]"
1616426031.4665778,"[1.0, 1.0]","[0.9970703, 0.8071289]"
1616426031.557987,"[1.0, 1.0]","[0.984375, 0.9589844]"
1616426031.7452621,"[1.0, 1.0]","[0.94384766, 0.93603516]"
1616426031.832484,"[1.0, 1.0]","[0.97265625, 0.75146484]"
1616426031.9219673,"[1.0, 1.0]","[0.97509766, 0.40893555]"
1616426032.0048141,"[1.0, 1.0]","[0.97314453, 0.34887695]"
1616426032.095031,"[1.0, 1.0]","[0.9716797, 0.45385742]"
1616426032.1892607,"[1.0, 1.0]","[0.9707031, 0.4267578]"
1616426032.273858,"[1.0, 1.0]","[0.97314453, 0.3059082]"
1616426032.3666215,[1.0],[0.9716797]
1616426032.4529877,[1.0],[0.9716797]
1616426032.5428832,"[1.0, 1.0]","[0.97265625, 0.31030273]"
1616426032.633044,"[1.0, 1.0]","[0.9716797, 0.54003906]"
1616426032.7248642,"[1.0, 1.0]","[0.97265625, 0.6245117]"
1616426033.8114982,"[1.0, 1.0]","[0.96875, 0.54052734]"
1616426033.9113235,"[1.0, 1.0]","[0.96875, 0.5673828]"
1616426033.997248,"[1.0, 1.0]","[0.9658203, 0.43164062]"
1616426034.086285,"[1.0, 1.0]","[0.96435547, 0.39746094]"
1616426034.1744888,"[1.0, 1.0]","[0.9472656, 0.46923828]"
1616426034.2667277,"[1.0, 1.0]","[0.94921875, 0.4345703]"
1616426034.3535912,"[1.0, 1.0]","[0.94384766, 0.58691406]"
1616426034.4429893,"[1.0, 1.0]","[0.9086914, 0.71875]"
1616426034.5308352,"[1.0, 1.0]","[0.93115234, 0.75]"
1616426034.6195562,"[1.0, 1.0, 1.0, 73.0]","[0.88427734, 0.84765625, 0.39013672, 0.44628906]"
1616426034.7075822,"[1.0, 1.0, 1.0]","[0.9194336, 0.90722656, 0.3095703]"
1616426035.867565,"[1.0, 1.0]","[0.91259766, 0.7475586]"
1616426035.9575164,"[1.0, 1.0, 73.0]","[0.9316406, 0.7963867, 0.3334961]"
1616426036.0439146,"[1.0, 1.0]","[0.9448242, 0.82958984]"
1616426036.135832,"[1.0, 1.0, 73.0]","[0.95703125, 0.8491211, 0.3894043]"
1616426036.224277,"[1.0, 1.0]","[0.96240234, 0.7890625]"
1616426036.3098423,"[1.0, 1.0, 1.0]","[0.96972656, 0.67529297, 0.47631836]"
1616426036.3950856,"[1.0, 1.0]","[0.9614258, 0.7890625]"
1616426036.4915376,"[1.0, 1.0, 1.0, 1.0]","[0.95703125, 0.7348633, 0.48632812, 0.42749023]"
1616426036.5787308,"[1.0, 1.0, 1.0, 1.0]","[0.9370117, 0.8105469, 0.6113281, 0.37841797]"
1616426036.6713662,"[1.0, 1.0, 1.0, 1.0]","[0.9301758, 0.5625, 0.42114258, 0.34960938]"
1616426036.7656732,"[1.0, 1.0, 1.0, 1.0]","[0.71191406, 0.5527344, 0.45751953, 0.33691406]"
1616426037.9216707,"[1.0, 1.0, 73.0]","[0.84472656, 0.42285156, 0.4802246]"
1616426038.016492,"[1.0, 73.0]","[0.83447266, 0.44628906]"
1616426038.1058347,"[1.0, 1.0, 1.0, 73.0]","[0.78808594, 0.37646484, 0.3190918, 0.3725586]"
1616426038.1934068,"[1.0, 1.0, 1.0, 73.0]","[0.7558594, 0.5161133, 0.3244629, 0.55371094]"
1616426038.2828822,"[1.0, 1.0, 1.0, 73.0]","[0.81347656, 0.48706055, 0.36889648, 0.6225586]"
